summary_date,site,monitor,pm25_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2017-04-22,2143,-,7.5,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-23,2143,-,7.2,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-24,2143,-,5.5,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-25,2143,-,3.9,Davis-UCD Campus,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-26,2143,-,4.1,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-27,2143,-,5.4,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-28,2143,-,6.1,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-29,2143,-,6.0,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-30,2143,-,10.4,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-01,2143,-,4.4,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-02,2143,-,4.1,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-03,2143,-,5.0,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-04,2143,-,7.3,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-05,2143,-,5.5,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-06,2143,-,8.3,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-07,2143,-,8.2,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-08,2143,-,12.3,Davis-UCD Campus,21,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-09,2143,-,11.7,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-10,2143,-,11.4,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-11,2143,-,4.6,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-12,2143,-,4.3,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-13,2143,-,4.1,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-14,2143,-,5.5,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-15,2143,-,6.9,Davis-UCD Campus,21,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-16,2143,-,5.9,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-17,2143,-,4.7,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-18,2143,-,4.7,Davis-UCD Campus,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-20,2143,-,1.1,Davis-UCD Campus,19,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-21,2143,-,0.6,Davis-UCD Campus,18,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-22,2143,-,0.1,Davis-UCD Campus,18,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-23,2143,-,0.8,Davis-UCD Campus,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-24,2143,-,0.5,Davis-UCD Campus,21,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-25,2143,-,0.7,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-26,2143,-,0.4,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-27,2143,-,0.9,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-28,2143,-,0.8,Davis-UCD Campus,19,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-29,2143,-,0.6,Davis-UCD Campus,18,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-05-30,2143,-,1.0,Davis-UCD Campus,20,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-01,2143,-,3.3,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-02,2143,-,5.9,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-03,2143,-,7.1,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-04,2143,-,9.6,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-05,2143,-,9.5,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-06,2143,-,12.0,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-07,2143,-,7.3,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-06-08,2143,-,4.3,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
