Date	Time	JD	PH_GEO.AH06B.CCO %
4/16/15	21:38:38	2457129.40	10.219051
4/16/15	21:53:38	2457129.41	0
4/16/15	22:08:38	2457129.42	0
4/16/15	22:23:38	2457129.43	1.466566
4/16/15	22:38:38	2457129.44	0
4/16/15	22:53:38	2457129.45	0.692248
4/16/15	23:08:38	2457129.46	8.571974
4/16/15	23:23:38	2457129.47	18.803514
4/16/15	23:38:38	2457129.49	0
4/16/15	23:53:38	2457129.50	0
4/17/15	0:08:38	2457129.51	0
4/17/15	0:23:38	2457129.52	0
4/17/15	0:38:38	2457129.53	0
4/17/15	0:53:38	2457129.54	0
4/17/15	1:08:38	2457129.55	0
4/17/15	1:23:38	2457129.56	4.666182
4/17/15	1:38:38	2457129.57	20.871016
4/17/15	1:53:38	2457129.58	22.632513
4/17/15	2:08:39	2457129.59	62.068855
4/17/15	2:23:39	2457129.60	77.988914
4/17/15	2:38:39	2457129.61	0
4/17/15	2:53:39	2457129.62	89.833527
4/17/15	3:08:39	2457129.63	2.917219
4/17/15	3:23:39	2457129.64	0
4/17/15	3:38:39	2457129.65	94.166916
4/17/15	3:53:39	2457129.66	1.735622
4/17/15	4:08:39	2457129.67	0
4/17/15	4:23:39	2457129.68	98.096581
4/17/15	4:38:39	2457129.69	0
4/17/15	4:53:39	2457129.70	0
4/17/15	5:08:39	2457129.71	96.613884
4/17/15	5:23:39	2457129.72	17.050781
4/17/15	5:38:39	2457129.74	0
4/17/15	5:53:39	2457129.75	84.925148
4/17/15	6:08:40	2457129.76	100
4/17/15	6:23:39	2457129.77	0
4/17/15	6:38:39	2457129.78	33.3946
4/17/15	6:53:39	2457129.79	99.993965
4/17/15	7:08:39	2457129.80	0
4/17/15	7:23:39	2457129.81	0
4/17/15	7:38:39	2457129.82	0
4/17/15	7:53:39	2457129.83	0
4/17/15	8:08:39	2457129.84	0
4/17/15	8:23:39	2457129.85	0
4/17/15	8:38:39	2457129.86	0
4/17/15	8:53:39	2457129.87	0
4/17/15	9:08:39	2457129.88	0
4/17/15	9:23:39	2457129.89	0
4/17/15	9:38:39	2457129.90	0
4/17/15	9:53:39	2457129.91	0
4/17/15	10:08:39	2457129.92	0
4/17/15	10:23:39	2457129.93	7.863922
4/17/15	10:38:39	2457129.94	7.807247
4/17/15	10:53:39	2457129.95	1.227439
4/17/15	11:08:39	2457129.96	7.095686
4/17/15	11:23:39	2457129.97	16.709377
4/17/15	11:38:39	2457129.99	15.038343
4/17/15	11:53:39	2457130.00	15.481938
4/17/15	12:08:39	2457130.01	23.993116
4/17/15	12:23:39	2457130.02	38.362297
4/17/15	12:38:39	2457130.03	37.67868
4/17/15	12:53:39	2457130.04	48.096264
4/17/15	13:08:39	2457130.05	37.917126
4/17/15	13:23:39	2457130.06	58.926617
4/17/15	13:38:39	2457130.07	21.767427
4/17/15	13:53:39	2457130.08	46.263718
4/17/15	14:08:39	2457130.09	29.777054
4/17/15	14:23:39	2457130.10	28.461508
4/17/15	14:38:39	2457130.11	25.780048
4/17/15	14:53:39	2457130.12	27.921602
4/17/15	15:08:39	2457130.13	26.722279
4/17/15	15:23:39	2457130.14	26.919846
4/17/15	15:38:39	2457130.15	24.820236
4/17/15	15:53:39	2457130.16	21.76663
4/17/15	16:08:39	2457130.17	28.681015
4/17/15	16:23:39	2457130.18	24.398821
4/17/15	16:38:39	2457130.19	21.521013
4/17/15	16:53:39	2457130.20	21.79384
4/17/15	17:08:39	2457130.21	23.783707
4/17/15	17:23:39	2457130.22	23.016443
4/17/15	17:38:39	2457130.24	22.186941
4/17/15	17:53:39	2457130.25	21.25458
4/17/15	18:08:39	2457130.26	22.828964
4/17/15	18:23:39	2457130.27	18.657881
4/17/15	18:38:39	2457130.28	20.479856
4/17/15	18:53:39	2457130.29	17.554619
4/17/15	19:08:39	2457130.30	20.433182
4/17/15	19:23:39	2457130.31	19.937813
4/17/15	19:38:39	2457130.32	22.130095
4/17/15	19:53:39	2457130.33	19.42767
4/17/15	20:08:39	2457130.34	20.686815
4/17/15	20:23:39	2457130.35	20.473209
4/17/15	20:38:39	2457130.36	20.974648
4/17/15	20:53:39	2457130.37	7.668501
4/17/15	21:08:39	2457130.38	6.108398
4/17/15	21:23:39	2457130.39	0
4/17/15	21:38:39	2457130.40	0
4/17/15	21:53:39	2457130.41	0
4/17/15	22:08:39	2457130.42	0
4/17/15	22:23:39	2457130.43	0
4/17/15	22:38:39	2457130.44	0
4/17/15	22:53:39	2457130.45	0
4/17/15	23:08:39	2457130.46	0
4/17/15	23:23:39	2457130.47	17.756151
4/17/15	23:38:39	2457130.49	26.388136
4/17/15	23:53:39	2457130.50	59.954269
4/18/15	0:08:39	2457130.51	45.48172
4/18/15	0:23:39	2457130.52	16.94397
4/18/15	0:38:39	2457130.53	0
4/18/15	0:53:39	2457130.54	0
4/18/15	1:08:39	2457130.55	0
4/18/15	1:23:39	2457130.56	0
4/18/15	1:38:39	2457130.57	0
4/18/15	1:53:39	2457130.58	83.048096
4/18/15	2:08:40	2457130.59	23.395147
4/18/15	2:23:40	2457130.60	0
4/18/15	2:38:40	2457130.61	91.798706
4/18/15	2:53:40	2457130.62	34.31292
4/18/15	3:08:40	2457130.63	0
4/18/15	3:23:40	2457130.64	89.699493
4/18/15	3:38:40	2457130.65	48.951111
4/18/15	3:53:40	2457130.66	0
